XFLR5 v6.02 Beta

Wing name :        Wing Name
Wing polar name :  finalRe1000000-65m/s
Freestream speed :  65.000 m/s

   alpha      CL          ICd        PCd        TCd        CY        Cm         Rm         Ym       IYm       QInf        XCP
 _________  ________   ________  _________  _________  _________  _________  _________  _________  _________  _________  _________
    0.000   0.000022  -0.000000   0.006036   0.006036   0.000000  -0.000017  -0.000004  -0.000000  -0.000000   65.0000     0.1202
    1.000   0.080301   0.000389   0.006049   0.006437   0.000000  -0.020511  -0.000000  -0.000000  -0.000000   65.0000     0.0767
    2.000   0.159609   0.001559   0.006092   0.007651   0.000000  -0.040641  -0.000000  -0.000000  -0.000000   65.0000     0.0605
    3.000   0.238621   0.003501   0.006168   0.009669   0.000000  -0.060572  -0.000000  -0.000000  -0.000000   65.0000     0.0597
    4.000   0.317270   0.006205   0.006284   0.012488   0.000000  -0.080276  -0.000000  -0.000000  -0.000000   65.0000     0.0594
    5.000   0.394997   0.009646   0.006474   0.016120   0.000000  -0.099521  -0.000000   0.000000   0.000000   65.0000     0.0590
    6.000   0.464322   0.013395   0.007615   0.021010   0.000000  -0.115043  -0.000000   0.000000   0.000000   65.0000     0.0580
    7.000   0.532685   0.017675   0.008879   0.026554   0.000000  -0.130090  -0.000000   0.000000   0.000000   65.0000     0.0570
    8.000   0.602665   0.022641   0.009924   0.032565   0.000000  -0.145715  -0.000000   0.000000   0.000000   65.0000     0.0564
    9.000   0.672557   0.028212   0.010867   0.039079   0.000000  -0.161076  -0.000000   0.000000   0.000000   65.0000     0.0557
   10.000   0.741520   0.034327   0.011849   0.046176   0.000000  -0.175864  -0.000000   0.000000   0.000000   65.0000     0.0551
   11.000   0.818695   0.041720   0.013017   0.054737   0.000000  -0.195069  -0.000000   0.000000   0.000000   65.0000     0.0552
   12.000   0.884076   0.048830   0.014428   0.063259   0.000000  -0.208801  -0.000000   0.000000   0.000000   65.0000     0.0546
   13.000   0.939030   0.055424   0.016206   0.071630   0.000000  -0.217991  -0.000000   0.000000   0.000000   65.0000     0.0535
   14.000   0.988913   0.061835   0.018533   0.080368   0.000000  -0.225791  -0.000000   0.000000   0.000000   65.0000     0.0525
   15.000   1.035330   0.068194   0.021489   0.089682   0.000000  -0.233281  -0.000000   0.000000   0.000000   65.0000     0.0516
   16.000   1.074221   0.073953   0.025471   0.099424   0.000000  -0.239207  -0.000000   0.000000   0.000000   65.0000     0.0507
   17.000   1.104014   0.079015   0.030890   0.109905   0.000000  -0.243817  -0.000000   0.000000   0.000000   65.0000     0.0500


